turn,comment,blacklist_suggestions,overall_quality,factual_correctness,readability,rating_time,warm_up,user_suggestions,action_coherence,linguistic_difference,content_similarity,identical_information,exhaustive_information,story_edit,story_old,grammar,implicit_fact_check,citation_correct,context_realization,false_gender,false_mood,matches_fandom,positive_comment,positive_example,negative_comment,negative_example,implicit_fc_comment,implicit_fc_example,positive_comment_topic,negative_comment_topic,story_id,listvalue,story_group,length,topk,temperature,likelihood_score,story_hash,version,amount_fallbacks,duration_generation,dur_score,user,date,avg_rating,model
98,,,60.0,100.0,50.0,12:5,1,,100.0,70.0,80.0,100.0,100.0,,,90.0,100,100.0,,100.0,100.0,,1. Klingt schöner as im Input,1. &quot;Im Januar wurde die Untersuchungshaft Kolesnikowas um weitere zwei Monate bis zum 8. März verlängert.&quot;,1. Grammatik2. Aus Plural wurde Singular3. Unpassendes Satzzeichen4. &quot;mehr&quot; verändert die Aussage,1. &quot;(...)Maria Kolesnikowa neue Anschuldigungen zufolge bis zu zwölf Jahren Haft.&quot;  2. &quot;(...)Aufrufe zur Handlung(...)&quot;  3. &quot;(...)geworden; Sie schloss (...)&quot;  4. &quot;Die EU erkennt den 66-Jährigen nicht mehr als Staatschef an.&quot;,,,,,104636,1,,,,,,8865461c0619eb9f05746ce0c9574bd0,,0,3.593.665.671.348.570,9.653.101.444.244.380,89491,2022-09-09 13:46:26,88.46153846153847,Maskito_v0.1.4_SOTA
98,,,80.0,100.0,100.0,20:39,0,,100.0,70.0,90.0,100.0,100.0,,,100.0,75,100.0,,100.0,100.0,,keine sprachlichen Fehler,-1,ein inhaltlicher Fehler,Input: Friseurgeschäfte durften seit dem neuerlichen Lockdown vom 16. Dezember an keine Dienstleistungen mehr anbieten. Output: Friseurgeschäfte dürfen im neuerlichen Lockdown ab 16. Dezember nicht mehr Dienstleistungen anbieten,,,,,104621,1,,,,,,938f06fbb25433f3bdf52d4706f26cc3,,0,2.133.280.849.456.780,5.994.821.548.461.910,70828,2022-09-09 14:28:49,93.46153846153847,Maskito_v0.1.4_SOTA
98,,,50.0,100.0,75.0,4:7,1,,75.0,60.0,80.0,100.0,100.0,,,90.0,100,100.0,,100.0,100.0,,-1,-1,1. Wort wurde unpassend großgeschrieben2. Kohärenz,1. &quot;(...)Germany Wenige Stunden vor dem Start (...)&quot;  2. &quot;Das teilte Snowboard Germany Wenige Stunden vor dem Start ist das bekannt geworden. &quot;,,,,,104622,1,,,,,,509cc3cf62affe211ce89d5d14ffc4d5,,2,21.597.801.685.333.200,7.511.836.767.196.650,89491,2022-09-09 17:41:23,86.92307692307692,Maskito_v0.1.4_SOTA
98,,,60.0,100.0,50.0,02:38,1,,100.0,60.0,80.0,100.0,100.0,,,100.0,100,100.0,,100.0,100.0,,-1,-1,1. Sinn und Ausdruck,1. &quot;Dann hätte auch der Impfstoff vernichtet werden müssen. &quot;,,,,,104619,1,,,,,,3f1ed32656f2d69a610840d86838f8d7,,0,16.844.057.083.129.800,35.213.258.266.448.900,89491,2022-09-09 17:44:02,88.46153846153847,Maskito_v0.1.4_SOTA
98,,,70.0,100.0,75.0,07:32,1,,100.0,80.0,100.0,100.0,100.0,,,90.0,100,,,100.0,100.0,,-1,-1,1. Leerzeichen wurd in der Klammer hinzugefügt2. Ausdruck nicht so schön,1. &quot;(...)Mann ( 1875)(...)&quot; 2. &quot;Nach Angaben der Hansestadt steuert Lübeck mit einer Laterne und einem Straßenschild die Thomas-Mann-Straße aus dem Lübecker Stadtteil St. Gertrud bei. &quot;,,,,,104618,1,,,,,,e079ee265e0e895c717b6dd9fdb3eb99,,0,12.752.801.656.723.000,34.724.233.150.482.100,89491,2022-09-09 17:51:40,92.91666666666667,Maskito_v0.1.4_SOTA
98,,,80.0,100.0,75.0,02:27,1,,100.0,90.0,90.0,100.0,100.0,,,100.0,100,,,100.0,100.0,,-1,-1,1. Ausdruck nicht optimal aber auch nicht falsch,1. &quot;(...) von einem Eingriff am Bein(...)&quot; / &quot;Der Monarch befinde sich nach dem geglückten Eingriff wegen eines Sehnenschadens oberhalb des rechten Knies (...)&quot;,,,,,104625,1,,,,,,5bb25765e05c67842a396117a9382b9e,,0,13.823.337.078.094.400,22.417.714.595.794.600,89491,2022-09-09 17:54:09,94.58333333333333,Maskito_v0.1.4_SOTA
98,,,40.0,100.0,50.0,04:15,0,,100.0,70.0,80.0,100.0,100.0,,,100.0,100,,,100.0,100.0,,-1,-1,1. Ausdruck,1. &quot;Bestandsdaten umfassen nicht die Inhalte etwa von Anrufen oder E-Mails&comma; sondern auch keine Verkehrsdaten&comma; aus denen etwa ersichtlich ist&comma; wer wann mit wem telefonierte.&quot; / &quot;Das Gesetz musste deshalb geändert werden&comma; weil die Karlsruher Richter jedoch entschieden&comma; dies sei nur noch bei einer konkret drohenden Gefahr zulässig.&quot;,,,,,104655,1,,,,,,1bebc35ccdd6ba03c45280c5744be11b,,0,24.597.381.830.215.400,5.936.349.630.355.830,89491,2022-09-09 18:02:41,86.66666666666667,Maskito_v0.1.4_SOTA
98,,,20.0,75.0,0.0,06:38,0,,50.0,60.0,50.0,100.0,100.0,,,90.0,100,100.0,,100.0,100.0,,-1,-1,1. Ausdruck&comma; Kohärenz2. Expliziter Fehler&comma; anderes Zeichen eingefügt3. Satzzeichen falsch,1. &quot;(...)geschoben – nun ist sein Führerschein los. &quot; / &quot;(...)die weiße Pracht weggeworfen&comma; (...)&quot; / &quot;Anwohner riefen Hilfe der Polizei. &quot; / &quot;In einem Nachbarort fanden die Beamten den Mann in seiner Wohnung und suchten ihn&comma; der weitergefahren war. &quot; / &quot;Ein Atemalkoholtest kam auf 2&comma;34 Promille an. &quot;  / &quot;Nach Angaben der Sprecherin hänge das Ergebnis der Blutalkoholprobe ab&comma; wie lange die Fahrerlaubnis einbehalten werde. &quot; 2. &quot;(...)ZT.300 (...) 3. &quot;(...)geschätzt;&quot;,,,,,104639,1,,,,,,f42d85452dc2ae68bf473f29c6b58438,,0,18.329.973.697.662.300,51.140.782.833.099.300,89491,2022-09-09 18:09:20,72.6923076923077,Maskito_v0.1.4_SOTA
98,,,30.0,100.0,50.0,6:0,0,,50.0,80.0,60.0,100.0,50.0,,,90.0,75,90.0,,100.0,100.0,,-1,-1,1. Satzzeichen taucht plötzlich auf2. Direkte Rede in indirekte Rede hat nicht funktioniert3. Ausdruck4. Kohärenz / impliziter Fehler,1. &quot;Eintracht / Frankfurts (...)&quot; 2. &quot;Der Österreicher sagte am Freitag bei einer Online-Pressekonferenz&comma; dass alle wollen uns jetzt schlagen. &quot;  3. &quot;(...)&quot;&comma; lobte Hütter die Einstellung.&quot;  / &quot;Nach dem kurzfristigen Aus beim Gastspiel bei der TSG 1899 Hoffenheim kommt Aymen Barkok dann wieder einsatzbereit. &quot; 4. &quot;Wie Sturm-Leihgabe Luka Jovic ist auch offen&comma; ob er gleich in der Startelf stehen wird.&quot;,,,,,104650,1,,,,,,cbe796c16d9f58ed7567376761b04186,,0,20.308.868.646.621.700,5.880.252.838.134.760,89491,2022-09-09 18:19:44,75.0,Maskito_v0.1.4_SOTA
98,,,60.0,100.0,75.0,14:24,1,,75.0,80.0,80.0,100.0,100.0,,,40.0,75,100.0,,100.0,100.0,,viele Satzumstellungen,-1,1. Komma nach Punkt&comma; doppelte schließende Klammer2. Faktenfehler: Die Gerichte wollten die Pferdebesitzerin beteiligen3. Verb nicht getrennt,1. (Az.&comma; VI ZR 210/18 u.a.)); 2. Die Pferdebesitzerin hatte sich zusammen mit ihrer Haftpflichtversicherung an den Folgekosten beteiligen wollen&comma; so das Landgericht Freiburg und das Oberlandesgericht Karlsruhe.; 3. Pferde ausübten erfahrungsgemäß eine starke Anziehungskraft für Kinder,,,,,104624,1,,,,,,8fddd082d935b7b24e4319feeb5a2830,,0,40.585.291.624.069.200,11.897.029.876.708.900,12802,2022-09-10 08:16:17,83.46153846153847,Maskito_v0.1.4_SOTA
98,,,60.0,100.0,75.0,05:50,1,,100.0,70.0,100.0,100.0,100.0,,,80.0,100,100.0,,100.0,,,-1,-1,-1,-1,,,,,104613,1,,,,,,fd369e9d1a9245c3b5b7840ca7041f49,,0,285.669.002.532.959,7.624.064.683.914.180,12802,2022-09-10 08:48:44,90.41666666666667,Maskito_v0.1.4_SOTA
98,,,50.0,100.0,75.0,06:24,1,,100.0,60.0,100.0,100.0,100.0,,,60.0,100,100.0,,100.0,100.0,,-1,-1,1. unnötiger slash,1. Eintracht / Frankfurts Trainer Adi Hütter,,,,,104650,1,,,,,,cbe796c16d9f58ed7567376761b04186,,0,20.308.868.646.621.700,5.880.252.838.134.760,12802,2022-09-10 08:55:09,88.07692307692308,Maskito_v0.1.4_SOTA
98,,,30.0,100.0,0.0,11:28,1,,100.0,60.0,70.0,100.0,100.0,,,40.0,50,90.0,,100.0,100.0,,-1,-1,1. Ausdruck - hat erlitten / ist gekommen2. Satzstellung3. Artikel fehlt4. &quot;an&quot; fehlt und Richter wird zu Plural5. Satzstellung nicht ideal6. Erneut Plural7. indirektes Zitat falsch8. Satzzeichen9. Ausdruck,1.  zu einer Niederlage gekommen 2. Für April plus Zinsen soll C&A nun die Miete nachzahlen. 3. an Mietsache darstelle. 4. Die Richter sahen auch keine Anpassung des Mietvertrags als zwingend. 6. Die Mietzahlung hätte dafür für C&A unzumutbar sein müssen&comma; was dieser aber verneinte. 6.  die Entscheidung der Richter 7.  Nach eingehender Prüfung der Begründung des Gerichts werden wir über weitere Schritte entscheiden. 8. protestiert; 9. Darin war unter anderem zu verstehen&comma;,,,,,104635,1,,,,,,a1eab00d74e8711c4a994c22962342a1,,0,38.701.805.114.746.000,9.577.592.611.312.860,50504,2022-09-10 11:35:05,72.3076923076923,Maskito_v0.1.4_SOTA
98,,,60.0,100.0,100.0,04:28,1,,100.0,70.0,100.0,100.0,100.0,,,100.0,100,100.0,,100.0,,,-1,-1,-1,-1,,,,,104628,1,,,,,,0fcedf3c28370ed012520d5e20e861c5,,0,2.034.547.185.897.820,46.885.175.704.956.000,12802,2022-09-10 11:52:44,94.16666666666667,Maskito_v0.1.4_SOTA
98,,,80.0,100.0,100.0,12:34,1,,100.0,50.0,90.0,100.0,100.0,,,90.0,100,100.0,,100.0,100.0,,-1,-1,-1,-1,,,,,104660,1,,,,,,50ed96b3af668c5cf003f00e38d2b74c,,0,273.902.530.670.166,56.424.455.642.700.100,50504,2022-09-10 12:13:51,93.07692307692308,Maskito_v0.1.4_SOTA
98,,,80.0,100.0,100.0,21:3,0,,100.0,50.0,90.0,100.0,100.0,,,70.0,100,100.0,,100.0,100.0,,-1,-1,1. zwei mal derselbe Leerzeichenfehler2. Hilfsverb &quot;werden&quot; fehlt beim Tempus,1. &quot;Spiegel&quot; -Bericht 2. Nach einem &quot;Spiegel&quot; -Bericht sind seit Jahresbeginn 3800 Soldatinnen und Soldaten gegen das Coronavirus geimpft.,,,,,104619,1,,,,,,3f1ed32656f2d69a610840d86838f8d7,,0,16.844.057.083.129.800,35.213.258.266.448.900,50504,2022-09-10 12:36:47,91.53846153846153,Maskito_v0.1.4_SOTA
98,,,40.0,100.0,50.0,18:19,0,,75.0,50.0,80.0,100.0,100.0,,,40.0,100,100.0,,100.0,100.0,,-1,-1,1. durch Satzstellung schwindet die LK aufgrund der Chronologie der Ereignisse,1. In einem Nachbarort fanden die Beamten den Mann in seiner Wohnung und suchten ihn&comma; der weitergefahren war,,,,,104639,1,,,,,,f42d85452dc2ae68bf473f29c6b58438,,0,18.329.973.697.662.300,51.140.782.833.099.300,50504,2022-09-10 12:55:07,79.61538461538461,Maskito_v0.1.4_SOTA
98,,,60.0,100.0,25.0,33:53:00,0,,75.0,60.0,80.0,100.0,100.0,,,60.0,75,100.0,,100.0,100.0,,-1,-1,1. Ausduck unbestimmter Artikel2. Ausdruck/IFC/LKH: jeder statt keiner3. Präposition und Zeichensetzung4. eingeschätzten,1. einer illegalen Machtergreifung  2. entbehrten keiner gesetzlichen Grundlage 3.  in dem Trio mit Swetlana Tichanowskaja und Veronika Zepkalo international bekannt geworden; 4. einschätzten,,,,,104636,1,,,,,,8865461c0619eb9f05746ce0c9574bd0,,0,3.593.665.671.348.570,9.653.101.444.244.380,50504,2022-09-10 13:48:56,79.61538461538461,Maskito_v0.1.4_SOTA
98,,,60.0,100.0,50.0,19:18,0,,100.0,60.0,90.0,100.0,100.0,,,80.0,100,100.0,,100.0,100.0,,-1,-1,1. Satzstellung2. G&R3. Satzstellung,Die Musik stammt von ihm in Dutzenden Filmen&comma; darunter &quot;Rain Man&quot; und &quot;Fluch der Karibik&quot;. 2. und einen Termin gefunden se 3. Eine Sprecherin des Kulturdezernats erklärte&comma; in welcher Form dann entschieden werde.,,,,,104632,1,,,,,,af8b6ab0039b6dabf99b1d58db2bc9c6,,0,17.848.258.018.493.600,4.099.850.416.183.470,50504,2022-09-10 14:11:33,87.6923076923077,Maskito_v0.1.4_SOTA
98,,,90.0,100.0,75.0,14:59,1,,100.0,60.0,90.0,100.0,100.0,,,100.0,100,100.0,,100.0,100.0,,-1,-1,1. Tempus eigentlich falsch&comma; aber eher Ausdruck als G&R,1.  ein Schlitten geprallt ist,,,,,104657,1,,,,,,1e9fb484c9d58ff2b6bb49c353ffd3f0,,0,18.229.595.184.326.100,6.384.530.782.699.580,50504,2022-09-10 15:23:40,93.46153846153847,Maskito_v0.1.4_SOTA
98,,,70.0,100.0,100.0,01:54,1,,100.0,40.0,90.0,100.0,100.0,,,80.0,100,90.0,,100.0,,,-1,-1,1. Modus2. Zitation&comma; &quot;sei&quot; fehlt,1. 22 Werke des 81-Jährigen sollten bei der 39. Ausgabe des Festivals (24. April bis 2. Mai) zu sehen sein. 2. ein &quot;facettenreicher und höchst kreativer Autor&comma; der oft von Literatur inspiriert ist&quot;,,,,,104649,1,,,,,,7f6b1492c966cd7ba88e255b9694bf04,,0,16.189.091.682.434.000,3.618.467.330.932.610,50504,2022-09-10 15:28:56,89.16666666666667,Maskito_v0.1.4_SOTA
98,,,100.0,100.0,100.0,04:50,0,,100.0,80.0,100.0,100.0,100.0,,,100.0,100,100.0,,100.0,100.0,,-1,-1,-1,-1,,,,,104653,1,,,,,,60dfbf02c7ee8d2c4e3e616f91f17633,,0,19.635.560.750.961.300,66.671.059.131.622.300,50504,2022-09-10 15:41:52,98.46153846153847,Maskito_v0.1.4_SOTA
98,,,30.0,100.0,25.0,05:39,0,,100.0,40.0,80.0,100.0,100.0,,,60.0,75,100.0,,100.0,100.0,,-1,-1,1. Ausdruck unbestimmter Artikel2. Artikel fehlt3. Ausdruck4. Direktes Zitat getrennt5. Tempus6. Ausdruck: angeordnete7. durch Präp. große IA- und IFC-Probleme. Es klingt so&comma; als sei die CDU die regierende Partei,1. Wegen einer Brustkrebserkrankung seiner Frau 2. Zunächst hatte dpa den Eindruck erweckt&comma; 3. &quot;Meine Frau Gerlinde ist an Brustkrebs erkrankt&quot;&comma; sagte Kretschmanns persönliche Erklärung.  4. &quot;Ich brauche diese Zeit&comma; um meiner Frau beizustehen&quot;. &quot;Ich werde in der schwierigen Lage für das Land meine Arbeit als Ministerpräsident weiterhin mit vollem Einsatz fortführen&quot; 6. Er ist der erste von den Grünen angeordnete Regierungschef in einem deutschen Bundesland. 7. Der beliebte grüne Regierungschef regiert seit fünf Jahren als Juniorpartner der CDU.   5. versichert der Regierungschef,,,,,104647,1,,,,,,a8bd9ac9b57c4dd4eab92cb622f99a89,,0,3.077.088.952.064.510,6.055.579.662.322.990,50504,2022-09-10 15:52:36,77.6923076923077,Maskito_v0.1.4_SOTA
98,,,70.0,100.0,75.0,13:56,1,,100.0,70.0,90.0,100.0,100.0,,,90.0,75,100.0,,100.0,100.0,,stark veränderter Wortlaut&comma; der aber inhaltlich passt,Input: &quot;Wir kriegen viele Komplimente. Das ist schön&comma; auf der einen Seite. Aber das wurde uns nicht geschenkt&comma; das haben wir uns hart erarbeitet&quot;&comma; sagte Hütter.  Output:  &quot;Wir kriegen viele Komplimente. Das ist schön&comma; auf der einen Seite. Aber das wurde uns nicht geschenkt&comma; das haben wir uns hart erarbeitet&quot;&comma; lobte Hütter die Einstellung,Ausdruck Fehler,Der Österreicher sagte am Freitag bei einer Online-Pressekonferenz&comma; dass alle wollen uns jetzt schlagen.,,,,,104650,1,,,,,,cbe796c16d9f58ed7567376761b04186,,0,20.308.868.646.621.700,5.880.252.838.134.760,70828,2022-09-10 16:48:20,90.0,Maskito_v0.1.4_SOTA
98,,,70.0,100.0,100.0,40:25:00,0,,100.0,40.0,100.0,100.0,100.0,,,100.0,100,100.0,,100.0,,,-1,-1,sehr geringe sprachliche Unterschiedlichkeit,-1,,,,,104623,1,,,,,,78c06b7eaa063be974709c0cd64f0c7e,,0,13.486.391.067.504.800,5.194.773.197.174.070,50504,2022-09-10 17:32:30,92.5,Maskito_v0.1.4_SOTA
98,,,70.0,100.0,75.0,10:3,0,,100.0,60.0,100.0,100.0,100.0,,,100.0,100,100.0,,100.0,100.0,,keine Fehler,-1,mehrere Sätze ohne Umstellung,-1,,,,,104645,1,,,,,,e2a69d7e2b693dfbf15be2e2f9c6e196,,2,2.725.818.181.037.900,7.344.520.330.429.070,70828,2022-09-10 17:33:27,92.6923076923077,Maskito_v0.1.4_SOTA
98,,,90.0,100.0,100.0,10:35,0,,100.0,50.0,90.0,75.0,100.0,,,100.0,100,100.0,,100.0,100.0,,-1,-1,1. die KI hat ergänzt&comma; dass Rüsselsheim in Hessen liegt ;)&comma; also könnte man das bei Deckungsgleichheit anmerken,-1,,,,,104628,1,,,,,,0fcedf3c28370ed012520d5e20e861c5,,0,2.034.547.185.897.820,46.885.175.704.956.000,50504,2022-09-10 18:28:16,92.6923076923077,Maskito_v0.1.4_SOTA
98,,,90.0,100.0,75.0,02:26,0,,100.0,50.0,100.0,100.0,100.0,,,100.0,100,100.0,,100.0,100.0,,KI hat den IP sprachlich verbessert. &quot; zum Anschauen attraktiver&quot; klingt deutlich unnatürlicher als &quot;beim Anschauen für attraktiver&quot;,-1,1. Satzstellung etwas verwirrend,1. Die englische Women&#039;s Super League hält Fußball-Nationalspielerin Melanie Leupolz beim Anschauen für attraktiver als die deutsche Frauen-Bundesliga,,,,,104652,1,,,,,,dc472d1acfcdec801d35371771c90587,,0,1.459.744.119.644.160,33.601.105.213.165.200,50504,2022-09-10 18:30:43,93.46153846153847,Maskito_v0.1.4_SOTA
98,,,90.0,100.0,100.0,02:53,0,,100.0,80.0,100.0,100.0,100.0,,,90.0,100,100.0,,100.0,100.0,,hervorragende SU&comma; die teilweise besser als der IP ist&comma; u.a. durch Füllwörter wie Adverbien,-1,1. Komma statt Punkt. Hat die KI bei fehlendem Punkt im IP bisher immer korrekt ergänzt.,-1,,,,,104642,1,,,,,,fc2becb0d50103a15e71d11544470cfe,,0,15.407.432.556.152.300,4.683.893.918.991.080,50504,2022-09-10 18:40:00,96.92307692307692,Maskito_v0.1.4_SOTA
98,,,30.0,100.0,0.0,06:15,0,,75.0,50.0,90.0,100.0,100.0,,,40.0,75,100.0,,100.0,,,-1,-1,1. Die KI hat nach dem Begriff in Klammern den Satz einfach abgebrochen&comma; bzw. diesen Teil nicht für zum Rest zugehörig interpretiert.2. G&R Adjektiv3. Das &quot;alten&quot; als Ausdrucksfehler ändert IFC und IA4. Habe Präposition hier mal nur als Ausdrucksfehler gewertet5. Satzstellung LKH Ausdruck6. G&R: einem7. Satzstellung sehr verwirrend8. Genus,1. Der wegen Unterschlagung von Bankgeldern verurteilte ehemalige Direktor des Internationalen Währungsfonds (IWF) 2. in Spanien Medienberichten zufolge 3. der viereinhalb Jahre alten Haftstrafe 4.  bei dem Gericht zu erhalten. 5. In dem Strafprozess wegen des Börsengangs der spanischen Großbank Bankia war er im vorigen Oktober zusammen mit allen 33 weiteren Angeklagten vom Vorwurf des Betrugs von Anlegern und der Bilanzfälschung freigesprochen worden&comma; ihm war offener Vollzug gewährt worden. 6. – ein &quot;Mord ohne Mörder&quot; 7. 2012 hatte die Ende 2010 – gut zwei Jahre nach Ausbruch der internationalen Finanzkrise – mit der Fusion mehrerer angeschlagener Institute ins Leben gerufene Bankia einen Verlust von rund 19 Milliarden Euro gemacht. 8. 2012 wurde es teilverstaatlicht.,,,,,104612,1,,,,,,ea7351abbaeb53db6b6506e79e4e30d7,,0,7.100.731.253.623.960,3.733.693.814.277.640,50504,2022-09-10 18:46:20,71.66666666666667,Maskito_v0.1.4_SOTA
98,,,40.0,100.0,25.0,5:1,0,,75.0,50.0,80.0,100.0,100.0,,,40.0,75,90.0,,100.0,100.0,,-1,-1,1. Satzstellung völliges Chaos2. Ausdruck bestimmter Artikel und daher LKH3. Satzstellung4. direktes Zitat ohne AFZ und verfälscht5. Das &quot;noch&quot; ist ein Ausdrucksfehler&comma; da die Tore momentan ja gerade nicht offen sind,1. Das erste Training zur WM-Abfahrt von Cortina Bei den Skirennfahrern sorgte d&#039; Ampezzo für heftige Kritik. 2. die Riesenslalom-Trainingseinheit einzuschieben. 3. Dann würde man im Flachen landen und schwere Verletzungen riskieren und den besagten Vertigine-Sprung nicht mit vollem Tempo anfahren. 4.  Ich hoffe schon auf morgen hin&comma; dass die Kurssetzung ein bisschen offener wird. 5. damit noch offener machen.,,,,,104651,1,,,,,,66de58a5b3ac3e9d2308294b6d674821,,0,39.527.016.401.290.800,12.233.128.070.831.200,50504,2022-09-10 18:54:55,75.0,Maskito_v0.1.4_SOTA
98,,,70.0,100.0,100.0,06:15,1,,75.0,70.0,100.0,100.0,100.0,,,80.0,100,100.0,,100.0,100.0,,-1,-1,-1,-1,,,,,104643,1,,,,,,34693dcd1fe5102d7431dfcb531861de,,0,2.217.101.740.837.090,5.229.137.659.072.870,12802,2022-09-11 08:54:11,91.92307692307692,Maskito_v0.1.4_SOTA
