comment,blacklist_suggestions,story_coherence,readability,rating_time,warm_up,user_suggestions,story_edit,story_old,implicit_fact_check,context_realization,false_gender,false_mood,topic_met,matches_style_tone,spelling_and_grammar,info_consistency,matches_fandom,positive_comment,positive_example,negative_comment,negative_example,implicit_fc_comment,implicit_fc_example,positive_comment_topic,negative_comment_topic,story_id,listvalue,story_group,length,topk,temperature,likelihood_score,hash,version,amount_fallbacks,duration_generation,dur_score,user,date
-1,-1,50,100,1:5,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98327,3,,,,,,313,,,,,12802,2022-07-19 19:55:56
-1,-1,100,100,1:17,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98055,5,,,,,,41,,,,,12802,2022-07-19 19:57:14
-1,-1,100,100,0:27,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98173,4,,,,,,159,,,,,79689,2022-07-20 12:46:32
-1,-1,100,100,0:46,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98109,6,,,,,,95,,,,,79689,2022-07-20 12:47:20
-1,-1,100,100,0:34,1,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98068,5,,,,,,54,,,,,79689,2022-07-20 12:47:55
-1,-1,100,100,2:3,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98328,3,,,,,,314,,,,,79689,2022-07-20 12:49:59
-1,-1,100,100,0:43,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98209,1,,,,,,195,,,,,79689,2022-07-20 12:50:43
-1,-1,100,100,4:17,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98294,2,,,,,,280,,,,,79689,2022-07-20 12:55:01
-1,-1,100,100,1:8,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98149,4,,,,,,135,,,,,79689,2022-07-20 12:56:09
-1,-1,100,100,0:55,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98285,2,,,,,,271,,,,,79689,2022-07-20 12:57:05
-1,-1,100,100,2:31,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98218,1,,,,,,204,,,,,79689,2022-07-20 12:59:38
-1,-1,100,100,1:18,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98344,3,,,,,,330,,,,,79689,2022-07-20 13:00:56
-1,-1,100,100,0:40,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98114,6,,,,,,100,,,,,79689,2022-07-20 13:01:37
-1,-1,100,100,0:20,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98071,5,,,,,,57,,,,,79689,2022-07-20 13:01:58
-1,-1,100,100,18:27,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98305,2,,,,,,291,,,,,79689,2022-07-20 13:20:25
-1,-1,100,100,19:19,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98334,3,,,,,,320,,,,,79689,2022-07-20 13:39:46
-1,-1,100,100,5:49,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98372,3,,,,,,358,,,,,70828,2022-07-22 07:05:40
Die Kategorie gibt es gar nicht,-1,75,75,3:50,1,-1,-1,-1,-1,-1,-1,-1,50,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98239,1,,,,,,225,,,,,70828,2022-07-22 07:09:31
-1,-1,100,100,4:53,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98020,5,,,,,,6,,,,,70828,2022-07-22 07:14:25
Kategorie gibt es nicht&comma; aber die Überschrift passt,-1,100,100,6:46,1,-1,-1,-1,-1,-1,-1,-1,50,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98144,4,,,,,,130,,,,,70828,2022-07-22 07:21:12
-1,-1,100,100,0:49,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98108,6,,,,,,94,,,,,70828,2022-07-22 07:22:03
-1,-1,75,100,1:54,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98286,2,,,,,,272,,,,,70828,2022-07-22 07:23:58
-1,-1,100,100,0:55,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98023,5,,,,,,9,,,,,70828,2022-07-22 07:24:53
-1,-1,75,75,1:50,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98114,6,,,,,,100,,,,,70828,2022-07-22 07:26:44
-1,-1,100,75,0:50,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98371,3,,,,,,357,,,,,70828,2022-07-22 07:27:35
-1,-1,75,100,0:49,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98282,2,,,,,,268,,,,,70828,2022-07-22 07:28:25
-1,-1,75,100,2:34,1,-1,-1,-1,-1,-1,-1,-1,50,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98178,4,,,,,,164,,,,,70828,2022-07-22 11:18:05
Titel passt&comma; entspricht aber nicht den drei Kategorien,-1,100,100,3:46,1,-1,-1,-1,-1,-1,-1,-1,50,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98201,1,,,,,,187,,,,,70828,2022-07-22 11:21:52
-1,-1,100,100,0:45,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98056,5,,,,,,42,,,,,70828,2022-07-22 11:22:38
-1,-1,100,100,1:18,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98094,6,,,,,,80,,,,,70828,2022-07-22 11:23:57
-1,-1,100,100,0:43,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98256,2,,,,,,242,,,,,70828,2022-07-22 11:24:42
-1,-1,100,100,17:33,0,-1,-1,-1,-1,-1,-1,-1,75,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98182,4,,,,,,168,,,,,70828,2022-07-22 11:42:16
Auf den Monat Januar beschränkt,-1,100,100,1:18,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98361,3,,,,,,347,,,,,70828,2022-07-22 11:43:35
Der Titel passt nicht ganz und entspricht nicht den drei Kategorien,-1,100,100,3:38,0,-1,-1,-1,-1,-1,-1,-1,50,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98213,1,,,,,,199,,,,,70828,2022-07-22 11:47:14
-1,-1,100,100,26:4,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98077,6,,,,,,63,,,,,70828,2022-07-22 12:13:20
-1,-1,75,75,0:55,0,-1,-1,-1,-1,-1,-1,-1,100,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98318,3,,,,,,304,,,,,70828,2022-07-22 12:14:16
Titel passt&comma; entspricht aber nicht den drei Kategorien,-1,100,100,9:20,0,-1,-1,-1,-1,-1,-1,-1,50,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98204,1,,,,,,190,,,,,70828,2022-07-22 12:23:37
Titel passt&comma; entspricht aber nicht den drei Kategorien,-1,100,100,1:16,0,-1,-1,-1,-1,-1,-1,-1,50,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98187,4,,,,,,173,,,,,70828,2022-07-22 12:24:55
-1,-1,75,100,7:46,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98055,5,,,,,,41,,,,,70828,2022-07-22 12:32:42
-1,-1,100,100,0:39,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98313,2,,,,,,299,,,,,70828,2022-07-22 12:33:22
-1,-1,75,75,1:15,0,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98118,6,,,,,,104,,,,,70828,2022-07-22 12:34:38
-1,-1,100,100,15:41,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98357,3,,,,,,343,,,,,70828,2022-07-22 12:50:20
Titel passt&comma; entspricht aber nicht den drei Kategorien,-1,100,100,2:33,0,-1,-1,-1,-1,-1,-1,-1,50,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98225,1,,,,,,211,,,,,70828,2022-07-22 12:52:54
-1,-1,100,100,0:47,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98314,2,,,,,,300,,,,,70828,2022-07-22 12:53:42
Titel passt&comma; aber entspricht nicht den drei Kategorien,-1,100,100,0:53,0,-1,-1,-1,-1,-1,-1,-1,50,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98141,4,,,,,,127,,,,,70828,2022-07-22 12:54:36
-1,-1,100,100,0:55,0,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98019,5,,,,,,5,,,,,70828,2022-07-22 12:55:32
-1,-1,75,100,12:22,0,-1,-1,-1,-1,-1,-1,-1,75,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98126,6,,,,,,112,,,,,70828,2022-07-22 13:07:55
-1,-1,100,100,8:57,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98283,2,,,,,,269,,,,,70828,2022-07-22 13:16:54
-1,-1,100,100,0:48,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98047,5,,,,,,33,,,,,79689,2022-07-22 13:20:48
-1,-1,100,100,0:32,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98211,1,,,,,,197,,,,,79689,2022-07-22 13:21:21
-1,-1,100,100,0:23,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98167,4,,,,,,153,,,,,79689,2022-07-22 13:21:45
-1,-1,100,100,0:50,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98102,6,,,,,,88,,,,,79689,2022-07-22 13:22:36
-1,-1,100,100,0:51,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98111,6,,,,,,97,,,,,79689,2022-07-22 13:23:28
-1,-1,100,100,0:34,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98186,4,,,,,,172,,,,,79689,2022-07-22 13:24:03
-1,-1,100,100,0:19,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98062,5,,,,,,48,,,,,79689,2022-07-22 13:24:23
-1,-1,100,100,0:23,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98215,1,,,,,,201,,,,,79689,2022-07-22 13:24:48
-1,-1,100,100,0:25,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98339,3,,,,,,325,,,,,79689,2022-07-22 13:25:14
-1,-1,75,100,0:45,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98290,2,,,,,,276,,,,,79689,2022-07-22 13:26:00
Titel passt&comma; aber entspricht nicht den drei Kategorien,-1,100,100,13:53,0,-1,-1,-1,-1,-1,-1,-1,50,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98150,4,,,,,,136,,,,,70828,2022-07-22 13:30:48
-1,-1,100,100,2:24,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98044,5,,,,,,30,,,,,70828,2022-07-22 13:33:13
-1,-1,100,100,16:50,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98287,2,,,,,,273,,,,,79689,2022-07-22 13:42:51
-1,-1,100,100,0:27,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98363,3,,,,,,349,,,,,79689,2022-07-22 13:43:19
-1,-1,100,100,0:33,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98049,5,,,,,,35,,,,,79689,2022-07-22 13:43:53
-1,-1,50,100,0:30,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98076,6,,,,,,62,,,,,79689,2022-07-22 13:44:24
-1,-1,100,100,0:17,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98174,4,,,,,,160,,,,,79689,2022-07-22 13:44:42
Titel passt&comma; entspricht aber nicht den drei Kategorien,-1,100,100,11:29,0,-1,-1,-1,-1,-1,-1,-1,50,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98209,1,,,,,,195,,,,,70828,2022-07-22 13:44:43
-1,-1,100,75,2:21,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98338,3,,,,,,324,,,,,70828,2022-07-22 13:47:06
-1,-1,100,100,0:36,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98257,2,,,,,,243,,,,,70828,2022-07-22 13:47:43
-1,-1,100,75,0:34,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98074,5,,,,,,60,,,,,70828,2022-07-22 13:48:19
-1,-1,100,100,4:9,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98253,1,,,,,,239,,,,,79689,2022-07-22 13:48:52
Auf den Monat Juni beschränkt,-1,100,100,4:18,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98359,3,,,,,,345,,,,,70828,2022-07-22 13:52:38
-1,-1,100,100,0:38,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98096,6,,,,,,82,,,,,70828,2022-07-22 13:53:17
Titel passt&comma; entspricht aber nicht den drei Kategorien,-1,100,100,1:49,0,-1,-1,-1,-1,-1,-1,-1,50,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98157,4,,,,,,143,,,,,70828,2022-07-22 13:55:07
Titel passt&comma; aber entspricht nicht den drei Kategorien,-1,100,100,10:32,0,-1,-1,-1,-1,-1,-1,-1,50,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98211,1,,,,,,197,,,,,70828,2022-07-22 14:05:39
-1,-1,100,100,1:22,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98134,6,,,,,,120,,,,,70828,2022-07-22 14:07:02
Titel passt&comma; entspricht aber nicht den drei Kategorien,-1,100,100,2:43,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98206,1,,,,,,192,,,,,70828,2022-07-22 14:09:46
-1,-1,100,100,0:45,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98347,3,,,,,,333,,,,,70828,2022-07-22 14:10:33
-1,-1,100,100,0:30,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98302,2,,,,,,288,,,,,70828,2022-07-22 14:11:05
Titel passt nicht ganz und entspricht nicht den drei Kategorien,-1,100,100,0:54,0,-1,-1,-1,-1,-1,-1,-1,25,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98138,4,,,,,,124,,,,,70828,2022-07-22 14:12:00
-1,-1,100,100,2:3,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98037,5,,,,,,23,,,,,70828,2022-07-22 14:14:04
Auf Anfang Januar beschränkt,-1,100,100,1:2,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98367,3,,,,,,353,,,,,70828,2022-07-22 14:15:06
Titel passt&comma; entspricht aber nicht den drei Kategorien,-1,100,100,5:48,0,-1,-1,-1,-1,-1,-1,-1,50,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98220,1,,,,,,206,,,,,70828,2022-07-22 14:20:56
-1,-1,100,100,0:29,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98021,5,,,,,,7,,,,,70828,2022-07-22 14:21:26
Titel passt&comma; entspricht aber nicht den drei Kategorien,-1,75,75,0:26,0,-1,-1,-1,-1,-1,-1,-1,50,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98183,4,,,,,,169,,,,,70828,2022-07-22 14:21:52
-1,-1,75,100,1:11,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98296,2,,,,,,282,,,,,70828,2022-07-22 14:23:04
-1,-1,100,100,1:19,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98115,6,,,,,,101,,,,,70828,2022-07-22 14:24:25
-1,-1,100,100,0:17,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98073,5,,,,,,59,,,,,79689,2022-07-22 14:25:27
-1,-1,100,100,0:43,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98270,2,,,,,,256,,,,,79689,2022-07-22 14:26:11
-1,-1,100,100,0:33,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98239,1,,,,,,225,,,,,79689,2022-07-22 14:26:45
-1,-1,100,100,4:51,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98277,2,,,,,,263,,,,,70828,2022-07-22 14:29:16
-1,-1,100,100,0:25,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98015,5,,,,,,1,,,,,70828,2022-07-22 14:29:42
-1,-1,100,100,8:24,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98151,4,,,,,,137,,,,,70828,2022-07-22 14:38:07
Auf den Monat Januar beschränkt,-1,100,100,1:56,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98356,3,,,,,,342,,,,,70828,2022-07-22 14:40:04
-1,-1,100,100,1:33,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98099,6,,,,,,85,,,,,70828,2022-07-22 14:41:39
-1,-1,100,100,3:25,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98203,1,,,,,,189,,,,,70828,2022-07-22 14:45:04
Plötzlich zu Englisch gewechselt,-1,100,75,1:5,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,98080,6,,,,,,66,,,,,70828,2022-07-22 14:46:10
-1,-1,100,100,0:36,0,-1,-1,-1,-1,-1,-1,-1,100,-1,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98328,3,,,,,,314,,,,,70828,2022-07-22 14:46:47
-1,-1,75,100,1:48,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98050,5,,,,,,36,,,,,70828,2022-07-22 14:48:36
-1,-1,100,100,0:45,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98265,2,,,,,,251,,,,,70828,2022-07-22 14:49:23
-1,-1,100,100,6:46,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98245,1,,,,,,231,,,,,70828,2022-07-22 14:56:10
-1,-1,100,100,0:58,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98165,4,,,,,,151,,,,,70828,2022-07-22 14:57:09
-1,-1,100,100,0:54,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98368,3,,,,,,354,,,,,70828,2022-07-22 14:58:04
-1,-1,100,100,2:20,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98107,6,,,,,,93,,,,,70828,2022-07-22 15:00:25
-1,-1,100,100,0:36,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98244,1,,,,,,230,,,,,70828,2022-07-22 15:01:02
-1,-1,100,100,3:38,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98017,5,,,,,,3,,,,,70828,2022-07-22 15:04:41
-1,-1,100,100,0:36,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98192,4,,,,,,178,,,,,70828,2022-07-22 15:05:19
-1,-1,100,100,41:17,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98075,6,,,,,,61,,,,,79689,2022-07-22 15:08:03
-1,-1,75,100,2:58,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98300,2,,,,,,286,,,,,70828,2022-07-22 15:08:18
-1,-1,100,100,0:18,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98171,4,,,,,,157,,,,,79689,2022-07-22 15:08:22
